Seed, tf, trc, s
21686, 90, 32, 1
21687, 94, 38, 1
21688, 104, 46, 1
21689, 114, 36, 1
21690, 86, 38, 1
21691, 98, 42, 1
21692, 94, 40, 1
21693, 88, 32, 1
21694, 92, 32, 1
21695, 104, 44, 1
21696, 86, 32, 1
21697, 78, 38, 1
21698, 92, 34, 1
21699, 98, 38, 1
21700, 90, 32, 1
21701, 102, 38, 1
21702, 94, 34, 1
21703, 116, 40, 1
21704, 96, 32, 1
21705, 96, 30, 1
21706, 94, 42, 1
21707, 96, 36, 1
21708, 110, 44, 1
21709, 94, 28, 1
21710, 104, 36, 1
21711, 100, 44, 1
21712, 94, 40, 1
21713, 90, 36, 1
21714, 90, 34, 1
21715, 94, 26, 1
21716, 100, 44, 1
21717, 110, 36, 1
21718, 96, 38, 1
21719, 114, 40, 1
21720, 94, 42, 1
21721, 100, 40, 1
21722, 100, 44, 1
21723, 98, 26, 1
21724, 104, 42, 1
21725, 100, 38, 1
21726, 106, 36, 1
21727, 108, 38, 1
21728, 100, 40, 1
21729, 90, 30, 1
21730, 96, 38, 1
21731, 84, 34, 1
21732, 108, 50, 1
21733, 92, 40, 1
21734, 104, 42, 1
21735, 98, 40, 1
21736, 104, 40, 1
21737, 92, 40, 1
21738, 92, 44, 1
21739, 90, 36, 1
21740, 116, 46, 1
21741, 108, 42, 1
21742, 92, 34, 1
21743, 98, 42, 1
21744, 96, 38, 1
21745, 90, 36, 1
21746, 102, 36, 1
21747, 96, 40, 1
21748, 100, 38, 1
21749, 106, 44, 1
21750, 104, 42, 1
21751, 96, 34, 1
21752, 110, 34, 1
21753, 100, 36, 1
21754, 114, 50, 1
21755, 96, 48, 1
21756, 96, 40, 1
21757, 86, 32, 1
21758, 88, 32, 1
21759, 90, 32, 1
21760, 110, 42, 0
21761, 86, 40, 1
21762, 96, 44, 1
21763, 100, 40, 1
21764, 94, 44, 1
21765, 106, 50, 1
21766, 84, 32, 1
21767, 92, 46, 1
21768, 106, 36, 1
21769, 98, 40, 0
21770, 86, 36, 1
21771, 98, 40, 1
21772, 92, 40, 1
21773, 114, 48, 1
21774, 100, 34, 1
21775, 92, 46, 1
21776, 90, 28, 1
21777, 84, 36, 1
21778, 96, 44, 1
21779, 90, 36, 1
21780, 110, 34, 1
21781, 100, 34, 1
21782, 92, 30, 1
21783, 110, 40, 1
21784, 100, 38, 1
21785, 92, 42, 1
21786, 80, 28, 1
21787, 84, 36, 1
21788, 100, 40, 1
21789, 98, 36, 1
21790, 104, 50, 1
21791, 100, 46, 1
21792, 94, 48, 1
21793, 98, 42, 1
21794, 92, 32, 1
21795, 104, 40, 1
21796, 102, 44, 1
21797, 90, 28, 1
21798, 90, 32, 1
21799, 98, 44, 1
21800, 96, 40, 1
21801, 98, 36, 1
21802, 108, 40, 1
21803, 104, 44, 1
21804, 92, 42, 1
21805, 88, 44, 1
21806, 98, 38, 1
21807, 88, 38, 1
21808, 86, 34, 1
21809, 84, 32, 1
21810, 98, 34, 1
21811, 98, 40, 1
21812, 96, 42, 1
21813, 80, 26, 1
21814, 98, 50, 1
21815, 92, 42, 1
21816, 98, 36, 1
21817, 90, 46, 1
21818, 96, 34, 1
21819, 102, 50, 1
21820, 104, 48, 1
21821, 102, 36, 1
21822, 116, 58, 1
21823, 84, 30, 1
21824, 86, 40, 1
21825, 96, 38, 1
21826, 102, 34, 1
21827, 94, 32, 1
21828, 94, 38, 1
21829, 90, 40, 1
